investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,True,26550.0,721.0,56.0,310608.29,False,LONGA METRAGEM,False,False,True,False,False
False,False,False,13061.0,465.0,95.0,114221.88,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1390.0,247.0,52.0,17411.55,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1645.0,95.0,18.0,35167.27,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,7370.0,166.0,68.0,80134.0,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,348293.0,2524.0,55.0,4148146.83,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,4849.0,110.0,25.0,59878.11,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1674.0,107.0,27.0,12534.3,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,955841.0,5168.0,107.0,11339991.54,True,LONGA METRAGEM,False,False,True,False,False
True,True,True,79317.0,2402.0,91.0,979964.95,True,LONGA METRAGEM,False,False,True,False,False
True,False,False,5665.0,261.0,102.0,32087.71,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,719.0,123.0,28.0,10008.88,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,5293.0,401.0,84.0,50672.71,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,37.0,7.0,7.0,545.0,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,21696.0,771.0,49.0,222862.05,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,1347.0,88.0,14.0,13902.03,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,294.0,61.0,49.0,2804.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,11211.0,441.0,79.0,142014.04,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1681.0,48.0,15.0,21400.33,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,145890.0,1813.0,75.0,1888580.47,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,19130.0,585.0,87.0,213293.63,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,7222.0,479.0,82.0,94837.54,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,278.0,23.0,23.0,6640.02,True,MÉDIA METRAGEM,False,False,True,False,False
False,False,False,104.0,14.0,14.0,1530.08,True,LONGA METRAGEM,True,False,False,False,False
